Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Highlight Brown Body Wave Lace Wig,highlight-brown-body-wave-lace-wig,"<p>Upgrade your look with the <strong>Highlight Brown Body Wave Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Body Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Colored Wig,"100% Human Hair, Colored Wig, Body Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-011-BODY-20,7291000000111,Length,20 inch,,Color,Natural Black,,,,,239.99,309.99,108.00,True,,,,,,shopify,49,DENY,350,g,True,manual,,,,,False,Highlight Brown Body Wave Lace Wig | Premium 100% Human Hair,"Shop highlight brown body wave lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-011-BODY-20,Colored Wig,Body Wave,New,False,Human Hair,Colored Wig,Body Wave,Premium,In Stock
Honey Blonde 13x4 Lace Front Wig,honey-blonde-13x4-lace-front-wig,"<p>Upgrade your look with the <strong>Honey Blonde 13x4 Lace Front Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Body Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Colored Wig,"100% Human Hair, Colored Wig, Body Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-012-BODY-20,7291000000128,Length,20 inch,,Color,Natural Black,,,,,249.99,319.99,112.00,True,,,,,,shopify,70,DENY,350,g,True,manual,,,,,False,Honey Blonde 13x4 Lace Front Wig | Premium 100% Human Hair,"Shop honey blonde 13x4 lace front wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-012-BODY-20,Colored Wig,Body Wave,New,False,Human Hair,Colored Wig,Body Wave,Premium,In Stock
Burgundy Deep Wave Lace Wig,burgundy-deep-wave-lace-wig,"<p>Upgrade your look with the <strong>Burgundy Deep Wave Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Deep Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Colored Wig,"100% Human Hair, Colored Wig, Deep Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-013-DEEP-20,7291000000135,Length,20 inch,,Color,Natural Black,,,,,234.99,299.99,105.00,True,,,,,,shopify,43,DENY,350,g,True,manual,,,,,False,Burgundy Deep Wave Lace Wig | Premium 100% Human Hair,"Shop burgundy deep wave lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-013-DEEP-20,Colored Wig,Deep Wave,New,False,Human Hair,Colored Wig,Deep Wave,Premium,In Stock
Chocolate Brown Straight Glueless Wig,chocolate-brown-straight-glueless-wig,"<p>Upgrade your look with the <strong>Chocolate Brown Straight Glueless Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Colored Wig,"100% Human Hair, Colored Wig, Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-014-STRA-18,7291000000142,Length,18 inch,,Color,Natural Black,,,,,229.99,289.99,101.00,True,,,,,,shopify,21,DENY,350,g,True,manual,,,,,False,Chocolate Brown Straight Glueless Wig | Premium 100% Human Hair,"Shop chocolate brown straight glueless wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-014-STRA-18,Colored Wig,Straight,New,False,Human Hair,Colored Wig,Straight,Premium,In Stock
Ombre Blonde Loose Wave Lace Wig,ombre-blonde-loose-wave-lace-wig,"<p>Upgrade your look with the <strong>Ombre Blonde Loose Wave Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Loose Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Colored Wig,"100% Human Hair, Colored Wig, Loose Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-015-LOOS-20,7291000000159,Length,20 inch,,Color,Natural Black,,,,,244.99,314.99,110.00,True,,,,,,shopify,46,DENY,350,g,True,manual,,,,,False,Ombre Blonde Loose Wave Lace Wig | Premium 100% Human Hair,"Shop ombre blonde loose wave lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-015-LOOS-20,Colored Wig,Loose Wave,New,False,Human Hair,Colored Wig,Loose Wave,Premium,In Stock
Natural Black Pixie Cut Human Hair Wig,natural-black-pixie-cut-human-hair-wig,"<p>Upgrade your look with the <strong>Natural Black Pixie Cut Human Hair Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Short Wig,"100% Human Hair, Short Wig, Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-016-STRA-10,7291000000166,Length,10 inch,,Color,Natural Black,,,,,139.99,179.99,59.00,True,,,,,,shopify,36,DENY,350,g,True,manual,,,,,False,Natural Black Pixie Cut Human Hair Wig | Premium 100% Human Hair,"Shop natural black pixie cut human hair wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-016-STRA-10,Short Wig,Straight,New,False,Human Hair,Short Wig,Straight,Premium,In Stock
Curly Bob 5x5 HD Lace Wig,curly-bob-5x5-hd-lace-wig,"<p>Upgrade your look with the <strong>Curly Bob 5x5 HD Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Curly</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Bob Wig,"100% Human Hair, Bob Wig, Curly, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-017-CURL-12,7291000000173,Length,12 inch,,Color,Natural Black,,,,,159.99,209.99,68.00,True,,,,,,shopify,34,DENY,350,g,True,manual,,,,,False,Curly Bob 5x5 HD Lace Wig | Premium 100% Human Hair,"Shop curly bob 5x5 hd lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-017-CURL-12,Bob Wig,Curly,New,False,Human Hair,Bob Wig,Curly,Premium,In Stock
Straight Bob Blunt Cut Lace Wig,straight-bob-blunt-cut-lace-wig,"<p>Upgrade your look with the <strong>Straight Bob Blunt Cut Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Bob Wig,"100% Human Hair, Bob Wig, Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-018-STRA-12,7291000000180,Length,12 inch,,Color,Natural Black,,,,,149.99,199.99,64.00,True,,,,,,shopify,45,DENY,350,g,True,manual,,,,,False,Straight Bob Blunt Cut Lace Wig | Premium 100% Human Hair,"Shop straight bob blunt cut lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-018-STRA-12,Bob Wig,Straight,New,False,Human Hair,Bob Wig,Straight,Premium,In Stock
Body Wave Bob Glueless Wig,body-wave-bob-glueless-wig,"<p>Upgrade your look with the <strong>Body Wave Bob Glueless Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Body Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Bob Wig,"100% Human Hair, Bob Wig, Body Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-019-BODY-14,7291000000197,Length,14 inch,,Color,Natural Black,,,,,164.99,214.99,70.00,True,,,,,,shopify,79,DENY,350,g,True,manual,,,,,False,Body Wave Bob Glueless Wig | Premium 100% Human Hair,"Shop body wave bob glueless wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-019-BODY-14,Bob Wig,Body Wave,New,False,Human Hair,Bob Wig,Body Wave,Premium,In Stock
Kinky Straight Bob Closure Wig,kinky-straight-bob-closure-wig,"<p>Upgrade your look with the <strong>Kinky Straight Bob Closure Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Kinky Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Bob Wig,"100% Human Hair, Bob Wig, Kinky Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-020-KINK-14,7291000000203,Length,14 inch,,Color,Natural Black,,,,,169.99,219.99,72.00,True,,,,,,shopify,67,DENY,350,g,True,manual,,,,,False,Kinky Straight Bob Closure Wig | Premium 100% Human Hair,"Shop kinky straight bob closure wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-020-KINK-14,Bob Wig,Kinky Straight,New,False,Human Hair,Bob Wig,Kinky Straight,Premium,In Stock
Brazilian Straight Human Hair Bundles,brazilian-straight-human-hair-bundles,"<p>Upgrade your look with the <strong>Brazilian Straight Human Hair Bundles</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Hair Bundles,"100% Human Hair, Hair Bundles, Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-021-STRA-18,7291000000210,Length,18 inch,,Color,Natural Black,,,,,89.99,119.99,38.00,True,,,,,,shopify,64,DENY,280,g,True,manual,,,,,False,Brazilian Straight Human Hair Bundles | Premium 100% Human Hair,"Shop brazilian straight human hair bundles made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-021-STRA-18,Hair Bundles,Straight,New,False,Human Hair,Hair Bundles,Straight,Premium,In Stock
